a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14,t-3,t-2,t-1,t
1382,250.4285714,2940,1052.714286,232,80.85714286,223,1459.714286,61.28571429,998.1428571,2924.857143,873.7142857,412.1428571,34.42857143,2.6,2.7,2.6,2.5
1242.142857,248.5714286,2949.428571,1084.714286,230.8571429,72.71428571,221.7142857,1509.571429,42.85714286,1018.142857,3101.142857,915.2857143,401.5714286,35.57142857,2.7,2.6,2.5,2.5
1191.714286,249.4285714,2905.285714,950.7142857,213.5714286,66.28571429,212.1428571,1432.714286,50.71428571,968.4285714,3037.714286,824.7142857,316.7142857,34.14285714,2.6,2.5,2.5,2.6
1025.857143,224.5714286,2836.428571,920.8571429,204.8571429,64.71428571,197.8571429,1374,60.42857143,978.7142857,2919,881.1428571,313.1428571,34.57142857,2.5,2.5,2.6,2.7
1098.428571,236.2857143,2922.714286,941.2857143,215,66.57142857,210.7142857,1375.428571,25.57142857,1032.142857,3099.428571,823.1428571,304.8571429,25.14285714,2.5,2.6,2.7,2.6
934.4285714,214.5714286,2952.285714,965.7142857,212,63.85714286,211.1428571,1370.857143,44.14285714,1030,3097.571429,832.4285714,286,17.85714286,2.6,2.7,2.6,2.5
918.5714286,198.7142857,2772.142857,1004.428571,190,51.85714286,208.1428571,1334.857143,50.14285714,1097.714286,3085.571429,796.5714286,266.5714286,34.42857143,2.7,2.6,2.5,
938.8571429,200.2857143,2855.142857,1057,181,60.28571429,196.4285714,1311.714286,25.14285714,1096,3126,785.1428571,332.7142857,16.28571429,2.6,2.5,,2.4
1187.857143,225,2784.857143,1047.428571,172.1428571,58,202.1428571,1295.285714,27,1108.428571,3166.428571,845,370.5714286,16.28571429,2.5,,2.4,2.4
1245,228.7142857,2746.857143,1093.571429,174.5714286,16.85714286,192,1310,51.28571429,1162.714286,3500.142857,915.4285714,281,8.142857143,,2.4,2.4,2.3
1176.571429,224.5714286,2726,1192.142857,177.7142857,8.571428571,190.7142857,1366.285714,34.28571429,1218.285714,3808.857143,940.4285714,241.1428571,8.142857143,2.4,2.4,2.3,2.3
1174.285714,216.5714286,2729.428571,1256.714286,177.4285714,42.71428571,189.1428571,1407,42.42857143,1256.285714,3897.571429,967.8571429,256.5714286,16.85714286,2.4,2.3,2.3,2.4
