a1,a2,a3,a4,a5,a6,a7,t-3,t-2,t-1,t
1813,353.2857143,3142.285714,501.1428571,501,406,182.5714286,2.7,2.9,2.8,3
2029.428571,338.5714286,2930.571429,473.2857143,508.8571429,380.4285714,191.1428571,2.9,2.8,3,3.2
1762.428571,275.4285714,2631.142857,501.4285714,420.1428571,345.1428571,164.5714286,2.8,3,3.2,3
1938,275,2471.857143,521.8571429,529.4285714,310.5714286,173.2857143,3,3.2,3,2.8
1783.142857,245.8571429,2464.428571,437.5714286,550.4285714,428.4285714,156.4285714,3.2,3,2.8,2.7
1482.571429,191.1428571,2249.714286,410.4285714,463,287.4285714,117.7142857,3,2.8,2.7,3.6
1734.142857,243.7142857,2603.857143,469.1428571,576.2857143,556.4285714,132.1428571,2.8,2.7,3.6,2.7
1808.857143,266.5714286,2335.428571,438.8571429,563.1428571,512.8571429,150.1428571,2.7,3.6,2.7,2.4
1618,261.8571429,2402.571429,470.2857143,474.8571429,365.1428571,137,3.6,2.7,2.4,
1593.714286,267.4285714,2500.285714,425.4285714,470.1428571,359,119.8571429,2.7,2.4,,2.7
1699.571429,266.8571429,2451.285714,417.7142857,444.4285714,331.1428571,147.2857143,2.4,,2.7,2.8
1514.714286,260.8571429,2462.714286,473.2857143,386.2857143,316.5714286,149.7142857,,2.7,2.8,2.8
1517.428571,244.5714286,2414.571429,467.5714286,336.5714286,290.5714286,139.2857143,2.7,2.8,2.8,2.8
1472.857143,282,2497.428571,494.2857143,403.5714286,305.4285714,109.2857143,2.8,2.8,2.8,2.9
1327.285714,272.2857143,2457.285714,543.7142857,327.1428571,286.2857143,80.14285714,2.8,2.8,2.9,2.9
1290.428571,249,2484.428571,574.7142857,286.4285714,281.5714286,75.85714286,2.8,2.9,2.9,3
1165.428571,274.4285714,2522.857143,584,281.8571429,259.2857143,71.71428571,2.9,2.9,3,2.9
1112.428571,290.7142857,2530.142857,579.5714286,264.7142857,285.8571429,55.57142857,2.9,3,2.9,3.1
1107,289.5714286,2641.285714,547.8571429,287.2857143,295.1428571,91.85714286,3,2.9,3.1,
1392.428571,318.1428571,2906.571429,598.5714286,448,301.5714286,72.85714286,2.9,3.1,,3.5
2070.142857,402.1428571,3454.857143,684,543,370.7142857,93.85714286,3.1,,3.5,4
1832.571429,360.1428571,3556.428571,738.4285714,590.8571429,373,114.7142857,,3.5,4,4.1
1554.714286,310.4285714,3650.428571,724.5714286,627.2857143,352.5714286,136.1428571,3.5,4,4.1,4.1
1355,292.5714286,3756.714286,813.4285714,560.8571429,319.4285714,101.4285714,4,4.1,4.1,4.1
1287.857143,278.4285714,3579.428571,739.7142857,464.1428571,322.8571429,157.1428571,4.1,4.1,4.1,3.9
1273,277.4285714,3382.142857,722,439.2857143,287,149,4.1,4.1,3.9,3.6
1039.142857,247.5714286,3250,620.7142857,358.1428571,342.7142857,113,4.1,3.9,3.6,3.6
1033.428571,234.7142857,3319.857143,597.7142857,387,286,113,3.9,3.6,3.6,3.6
1068.285714,229.8571429,3399.285714,625.4285714,379.7142857,285,87.71428571,3.6,3.6,3.6,3.8
984,215.8571429,3192.428571,571.1428571,331.1428571,286.4285714,86.28571429,3.6,3.6,3.8,3.3
1022,221.2857143,3266.857143,589.2857143,330.2857143,273,96.42857143,3.6,3.8,3.3,3.1
1082.428571,216.7142857,3176.285714,568,332.8571429,271.5714286,78,3.8,3.3,3.1,2.9
1042.857143,223.5714286,2739,505.8571429,340.1428571,264.2857143,75.28571429,3.3,3.1,2.9,2.9
1005.142857,240.1428571,2516,436.1428571,302.4285714,249.2857143,93,3.1,2.9,2.9,2.8
1047.571429,259.7142857,2383.285714,424.1428571,312.8571429,264.2857143,97,2.9,2.9,2.8,2.6
982.5714286,261,2357.857143,439.7142857,346.1428571,254.1428571,98.57142857,2.9,2.8,2.6,2.7
914.7142857,253,2195.428571,446.1428571,289.4285714,254.5714286,93.42857143,2.8,2.6,2.7,2.7
883.5714286,219.8571429,2162.571429,487.2857143,248,248.1428571,84.28571429,2.6,2.7,2.7,2.8
982.8571429,235.7142857,2224.285714,444,278.1428571,263.4285714,83.57142857,2.7,2.7,2.8,2.4
1040.571429,249.2857143,2144.857143,433.1428571,330.7142857,296.8571429,82.14285714,2.7,2.8,2.4,2.5
1061.142857,251.2857143,2125.571429,434.4285714,332.5714286,265,93.42857143,2.8,2.4,2.5,2.5
1030.285714,262.2857143,1927.428571,409.5714286,307.7142857,253.5714286,80.42857143,2.4,2.5,2.5,2.5
1154.571429,255.2857143,2034.428571,487.1428571,332.8571429,245.7142857,95,2.5,2.5,2.5,2.4
1184.285714,261.1428571,1938,460.1428571,323,257,70.42857143,2.5,2.5,2.4,2.4
1163.428571,259.5714286,2144.714286,466.5714286,338.2857143,258.1428571,89.71428571,2.5,2.4,2.4,2.6
1055.428571,274.2857143,2012.142857,454.1428571,353,246.8571429,84.57142857,2.4,2.4,2.6,2.5
1090.428571,259.7142857,2125.857143,464.1428571,422.7142857,260.8571429,86,2.4,2.6,2.5,2.6
1237.857143,279,2314.142857,510.8571429,513.4285714,271.7142857,127.2857143,2.6,2.5,2.6,2.6
1228.285714,275,2348,529.7142857,606.1428571,296.4285714,93.42857143,2.5,2.6,2.6,2.8
1552.714286,332.5714286,2581.857143,555.1428571,787.1428571,361.2857143,144.2857143,2.6,2.6,2.8,3
1449.428571,291.2857143,2723.285714,539.2857143,720.4285714,373.4285714,140.8571429,2.6,2.8,3,3.2
1732.142857,392,3008,645,993.2857143,485.8571429,165,2.8,3,3.2,3.2
1703.142857,404.1428571,3007.857143,616.7142857,1045.857143,513.4285714,173.8571429,3,3.2,3.2,3.2
1598,352,3037.428571,678.4285714,999.7142857,602.4285714,167.7142857,3.2,3.2,3.2,3.4
1605.571429,324.5714286,3202.285714,648.8571429,937.5714286,653.1428571,152.1428571,3.2,3.2,3.4,3
1497,296.4285714,2958,596.1428571,940.7142857,643.5714286,154.8571429,3.2,3.4,3,3
1316.285714,283,3305.857143,702.5714286,900.7142857,772.4285714,148.8571429,3.4,3,3,4.6
1909.285714,454.5714286,3188.285714,684.8571429,1043.714286,943.7142857,200,3,3,4.6,3
1678.857143,419.5714286,2998.714286,638.7142857,967.1428571,850,166.5714286,3,4.6,3,3
1804.142857,423.2857143,3234.142857,693.4285714,1063.285714,809.2857143,165.8571429,4.6,3,3,3.4
2095.571429,419.8571429,3138.571429,686.1428571,1125.142857,1063,190.2857143,3,3,3.4,3.6
3587.857143,654,3406.857143,748,1978.428571,1936.857143,289.5714286,3,3.4,3.6,3.9
3229.428571,697.4285714,3247,708.4285714,2321.857143,1496.285714,295.4285714,3.4,3.6,3.9,4.1
2396.285714,504.1428571,3135,636.1428571,1805,1231.857143,265.5714286,3.6,3.9,4.1,4
1673.428571,399.5714286,2787,617.1428571,1161.571429,1024.428571,193.5714286,3.9,4.1,4,4
1461.571429,322.8571429,2481.857143,554.2857143,930.2857143,750.7142857,155.8571429,4.1,4,4,3.7
1285.142857,322.1428571,2557,527.7142857,772.5714286,621.1428571,149.8571429,4,4,3.7,3.5
1173.571429,293.1428571,2903.285714,536.8571429,678.7142857,568.5714286,117.8571429,4,3.7,3.5,3.5
1072.571429,289.2857143,3242.285714,612.1428571,542.5714286,511,93.71428571,3.7,3.5,3.5,3.7
1028.857143,303.7142857,2884.285714,547.2857143,489.7142857,490.8571429,85.14285714,3.5,3.5,3.7,3.6
1030.857143,283.5714286,2907.571429,510.7142857,411.7142857,476.5714286,85,3.5,3.7,3.6,3.5
1094.428571,295.5714286,2981.857143,520,401.2857143,463.1428571,77.14285714,3.7,3.6,3.5,3.3
1033.142857,296.1428571,2865.428571,488.8571429,342.7142857,388.5714286,78.28571429,3.6,3.5,3.3,3.4
955,273.1428571,2614.285714,550.7142857,319.8571429,378.8571429,64.85714286,3.5,3.3,3.4,3.5
858.5714286,273.2857143,2436.428571,516.1428571,322.5714286,376.4285714,83.42857143,3.3,3.4,3.5,3.3
710.4285714,262.2857143,2221.285714,536,286.7142857,358.8571429,28.14285714,3.4,3.5,3.3,3.4
801,236.8571429,2136.142857,506,266.7142857,338.2857143,44.85714286,3.5,3.3,3.4,3.3
754.2857143,228.5714286,2116.285714,491.4285714,264.5714286,340,44.85714286,3.3,3.4,3.3,3.3
806.8571429,219.5714286,2100,523,268.4285714,348.2857143,62.42857143,3.4,3.3,3.3,3.1
762.2857143,209.7142857,2108.142857,481,260.2857143,352.8571429,26.85714286,3.3,3.3,3.1,3
777.8571429,205.7142857,2103.428571,533.5714286,260.4285714,334.2857143,20.42857143,3.3,3.1,3,2.9
711.1428571,201,2127.285714,490.8571429,257.8571429,314.7142857,8.714285714,3.1,3,2.9,2.8
654.2857143,197.1428571,2063.571429,498.2857143,253.2857143,313.4285714,9.285714286,3,2.9,2.8,2.8
856.7142857,213.4285714,2090.142857,510.1428571,269.4285714,321.7142857,27.57142857,2.9,2.8,2.8,2.8
779.8571429,217.5714286,2140.571429,480.2857143,275.7142857,339.2857143,8.714285714,2.8,2.8,2.8,2.7
771.7142857,233.4285714,1971.571429,474,308.7142857,335,43.57142857,2.8,2.8,2.7,2.6
962.8571429,260.2857143,1846.571429,492,312.2857143,342,27.28571429,2.8,2.7,2.6,2.6
7236.285714,254.1428571,1910.714286,517.8571429,321,349.4285714,64.57142857,2.7,2.6,2.6,2.9
9952.428571,278.1428571,1989.428571,534,352.8571429,395.2857143,37.42857143,2.6,2.6,2.9,2.8
8281.285714,232.5714286,1813.285714,491.1428571,345.7142857,364.2857143,53.85714286,2.6,2.9,2.8,2.6
5879.285714,241.1428571,1984.571429,550.5714286,320.2857143,355.2857143,36.71428571,2.9,2.8,2.6,2.8
3381.714286,261.2857143,1837.857143,532.2857143,352.7142857,388,36,2.8,2.6,2.8,2.5
2847.428571,275.4285714,1938,543.1428571,408.7142857,379.4285714,59,2.6,2.8,2.5,2.7
2498.714286,283,2027.142857,541.4285714,406.7142857,390.5714286,100.2857143,2.8,2.5,2.7,2.8
2202.857143,289.2857143,2131.285714,533.5714286,430.8571429,435.2857143,95.57142857,2.5,2.7,2.8,2.8
2139.428571,285.8571429,2127,536.1428571,449.5714286,435,88,2.7,2.8,2.8,3
2016.857143,296,2206.714286,581.4285714,565.8571429,487,113.4285714,2.8,2.8,3,3.1
1935.714286,290.7142857,2172.428571,569,570.7142857,518.5714286,119,2.8,3,3.1,3.1
1940.714286,308.5714286,2403.428571,620.1428571,690.1428571,578.5714286,112.7142857,3,3.1,3.1,3.2
2025,326,2687.571429,695.7142857,928.8571429,692.4285714,133.5714286,3.1,3.1,3.2,3.3
1843.428571,320.2857143,2906.571429,690.2857143,929.4285714,764.2857143,150.8571429,3.1,3.2,3.3,3.2
1992.142857,324.8571429,3026.428571,694.1428571,980.4285714,892.4285714,132.4285714,3.2,3.3,3.2,3.3
2066.857143,320.4285714,2934.857143,654.2857143,980.5714286,936.8571429,156.2857143,3.3,3.2,3.3,3.3
2010.428571,333.1428571,3174.285714,679.5714286,1002.857143,1024.142857,146.8571429,3.2,3.3,3.3,3.3
2097.285714,330.8571429,2665.428571,617.1428571,991.7142857,1013.142857,133.2857143,3.3,3.3,3.3,3.1
2005,277.2857143,2364.142857,580.7142857,968.1428571,991.5714286,110.8571429,3.3,3.3,3.1,2.9
1790,221.2857143,2074,517.1428571,880.1428571,837.2857143,111.8571429,3.3,3.1,2.9,3.3
1857,242.1428571,2349.714286,567.2857143,802.4285714,826.1428571,100.2857143,3.1,2.9,3.3,3.5
2145.142857,324.5714286,2211.285714,539.8571429,966.7142857,884.7142857,99.85714286,2.9,3.3,3.5,2.6
2805.285714,500.4285714,2124.857143,492.8571429,1395.714286,1104.571429,150,3.3,3.5,2.6,2.7
2864.428571,597.5714286,2116.428571,496.2857143,1684.857143,1080.571429,126.5714286,3.5,2.6,2.7,2.8
2428.714286,508.7142857,2315.857143,548.1428571,1538.714286,1014,124.1428571,2.6,2.7,2.8,3
2269.428571,490.4285714,2830.142857,565.5714286,1212.857143,1056.714286,131,2.7,2.8,3,3
1907.857143,496.1428571,2973.571429,597.7142857,1127.571429,1053.857143,134.7142857,2.8,3,3,3
1657.428571,484,3018.571429,570.2857143,1086.142857,1005.285714,145.5714286,3,3,3,3
1523,452.7142857,2911.428571,549.1428571,1033.285714,977.1428571,150.4285714,3,3,3,3.1
1421.714286,373,3222.142857,574,981.2857143,875.4285714,108.2857143,3,3,3.1,3.4
1329.857143,366.8571429,3091.285714,547.5714286,925.1428571,808.4285714,108.4285714,3,3.1,3.4,3.2
1299.714286,367.4285714,3036.285714,551.4285714,903.4285714,800.4285714,97.85714286,3.1,3.4,3.2,3.2
1354.857143,355,2859.714286,524,867.8571429,738.8571429,80.57142857,3.4,3.2,3.2,3.1
1305.714286,365.5714286,3156.428571,612.8571429,865.1428571,794.8571429,81,3.2,3.2,3.1,3.2
1366.142857,395.5714286,3064.142857,586.5714286,901.2857143,759.2857143,84.85714286,3.2,3.1,3.2,3.3
1358.857143,401,3100,583.7142857,798.8571429,792.1428571,85.85714286,3.1,3.2,3.3,3.3
1398.571429,363.8571429,3076.857143,598,735.4285714,729.7142857,91.14285714,3.2,3.3,3.3,3.4
1376.285714,324.5714286,3228.857143,678.5714286,655.8571429,674.2857143,91.57142857,3.3,3.3,3.4,3.6
1323.857143,325.5714286,3175.714286,669,524.7142857,674.7142857,84.57142857,3.3,3.4,3.6,3.4
1330.714286,315.1428571,3383,684.2857143,472.5714286,714.7142857,76.42857143,3.4,3.6,3.4,3.5
1514.142857,341.4285714,3827.285714,762.7142857,541.4285714,737.8571429,75.28571429,3.6,3.4,3.5,3.8
1589.428571,355.4285714,4292,828,680.2857143,832.7142857,120.4285714,3.4,3.5,3.8,3.7
1465.428571,344.8571429,4642,853.2857143,782,873.2857143,131.7142857,3.5,3.8,3.7,4.2
2119.428571,427.7142857,5235.857143,898,931.7142857,998.5714286,135,3.8,3.7,4.2,4.3
1816,449.1428571,5525.714286,889.2857143,952.7142857,1017.857143,147.8571429,3.7,4.2,4.3,4.1
1865,384.5714286,5044,772.8571429,896.5714286,936.8571429,144.1428571,4.2,4.3,4.1,4
2794.142857,437.7142857,4385.857143,700.2857143,1018.142857,848.2857143,143.8571429,4.3,4.1,4,3.6
6924,654,4486.142857,724.7142857,3071.857143,1016,220,4.1,4,3.6,3.6
2329.142857,347.5714286,4704.428571,824.8571429,1271.285714,914.8571429,175.5714286,4,3.6,3.6,3.6
1981,319.5714286,4914.571429,830.5714286,1026.428571,907,147.2857143,3.6,3.6,3.6,3.4
1759,327.4285714,4328.857143,747.2857143,885.8571429,839.7142857,135.1428571,3.6,3.6,3.4,3.4
1557.714286,317.5714286,3997.285714,733.5714286,891.2857143,851.8571429,164.7142857,3.6,3.4,3.4,3.1
1426.142857,337,3858.571429,693.1428571,898.2857143,922,184.7142857,3.4,3.4,3.1,3.3
1480.857143,326.2857143,3376.571429,636,778.2857143,922.5714286,166.7142857,3.4,3.1,3.3,3.1
2215.142857,311.4285714,3013.714286,592.4285714,601.1428571,807.1428571,144.4285714,3.1,3.3,3.1,3
1494.285714,253.4285714,3129,574.5714286,455.5714286,711,122.8571429,3.3,3.1,3,3.7
1430.142857,312,2916.428571,547.8571429,415.5714286,724.4285714,125.4285714,3.1,3,3.7,
1410.285714,320.2857143,2428.142857,526,386.7142857,730,161,3,3.7,,
1378.428571,342.2857143,2546.142857,520.7142857,447.7142857,798.7142857,122.8571429,3.7,,,2.9
1369.142857,369.2857143,2508.571429,535.8571429,489.7142857,820.2857143,151.4285714,,,2.9,3
1294.142857,373.8571429,2703.571429,535.2857143,492.4285714,862,146.4285714,,2.9,3,2.9
1293.857143,369.1428571,2672.428571,517.8571429,572.5714286,954.8571429,139.7142857,2.9,3,2.9,2.8
1378.714286,404.8571429,2680,556.7142857,747.2857143,999,183.1428571,3,2.9,2.8,3.1
1737.571429,520.4285714,3235.571429,614.8571429,1022.714286,1204,266.4285714,2.9,2.8,3.1,3.3
1899.285714,746.8571429,3933.857143,751.5714286,1356.857143,1871.714286,410.2857143,2.8,3.1,3.3,3.5
2594.285714,985.8571429,4587.285714,850.2857143,1831.714286,3152.714286,601.8571429,3.1,3.3,3.5,3.6
3945,1113.142857,6083.571429,958.4285714,3229,5642.714286,898.4285714,3.3,3.5,3.6,4.3
10281.71429,2127.428571,7813.857143,996.7142857,7160.142857,10268.14286,1608.714286,3.5,3.6,4.3,5
10577.42857,2262.428571,7754.285714,1000.714286,7653.714286,15487.28571,2553.285714,3.6,4.3,5,6
13886.14286,1945.714286,7091.142857,991.8571429,11848.71429,32072,5011.714286,4.3,5,6,6
