a1,a2,a3,a4,t-3,t-2,t-1,t
1193.857143,4119.142857,942.5714286,204.7142857,2.8,2.7,,3
1355.428571,4869,1175.428571,282.1428571,2.7,,3,3.1
1348,4844.571429,1234.857143,392.8571429,,3,3.1,3.6
1393.142857,5122.714286,1246.714286,539.1428571,3,3.1,3.6,3.9
1469.714286,6045.428571,1383.285714,786,3.1,3.6,3.9,4.1
1488.571429,6594.285714,1633.571429,1006.142857,3.6,3.9,4.1,4.2
1525.285714,6554.285714,2047.714286,907.7142857,3.9,4.1,4.2,4.2
1549.285714,6421,2213.428571,740.4285714,4.1,4.2,4.2,3.5
1526,6264.857143,2133.142857,577.7142857,4.2,4.2,3.5,3.6
1433.714286,5630,1877.428571,524.4285714,4.2,3.5,3.6,3.1
1410.142857,5241.714286,1729.571429,439.1428571,3.5,3.6,3.1,3.1
1362.714286,4768.142857,1460.714286,385.2857143,3.6,3.1,3.1,2.9
1337,4700.428571,1407.285714,347.5714286,3.1,3.1,2.9,2.8
1355.142857,4638.142857,1451.428571,311.1428571,3.1,2.9,2.8,3.8
1128.571429,3875.571429,1276.714286,318.7142857,2.9,2.8,3.8,2.9
1343.571429,4379.428571,1334.428571,332.5714286,2.8,3.8,2.9,2.6
1435.428571,4214.285714,1293.857143,339.2857143,3.8,2.9,2.6,
1377.857143,4218.428571,1244.714286,316.8571429,2.9,2.6,,2.7
1378.857143,4229.857143,1257.714286,295.7142857,2.6,,2.7,2.6
1374.428571,4396.714286,1256.285714,292.1428571,,2.7,2.6,2.7
1259.714286,4086.571429,1202,277.2857143,2.7,2.6,2.7,2.5
1277.571429,4389.428571,1161,266.5714286,2.6,2.7,2.5,2.3
1273.857143,4432.714286,1200.285714,255.1428571,2.7,2.5,2.3,2.4
1248.428571,3922,1159.857143,255.5714286,2.5,2.3,2.4,2.4
1115.428571,3349.714286,1103,241.5714286,2.3,2.4,2.4,2.3
1159.428571,3261,1080.285714,250.2857143,2.4,2.4,2.3,2.4
1118.142857,3188.285714,1054.285714,244,2.4,2.3,2.4,
1136.142857,3084.428571,1062.285714,265.7142857,2.3,2.4,,2.3
1132.571429,2993.714286,994.4285714,382,2.4,,2.3,2.5
1180.142857,3389.714286,1009.142857,607.2857143,,2.3,2.5,2.6
1205.571429,3426.714286,1015.285714,575.5714286,2.3,2.5,2.6,2.6
1209,3215,995.5714286,543.1428571,2.5,2.6,2.6,2.6
1233.428571,3331.285714,981.5714286,439.7142857,2.6,2.6,2.6,2.5
1302.571429,3275.571429,978.2857143,478.7142857,2.6,2.6,2.5,2.6
1350.857143,3509.571429,1032.428571,383.1428571,2.6,2.5,2.6,2.6
1306.714286,3287.285714,992,337.4285714,2.5,2.6,2.6,2.5
1368.428571,3562,1108.714286,324.2857143,2.6,2.6,2.5,2.4
1430.857143,3685.142857,1150.285714,329.2857143,2.6,2.5,2.4,2.5
1426.142857,3789.428571,1085,270.1428571,2.5,2.4,2.5,2.5
1342.285714,3928.428571,1050.428571,255,2.4,2.5,2.5,2.5
1315,3852.285714,1076.571429,232,2.5,2.5,2.5,2.4
1278.714286,3841.428571,1078.142857,224,2.5,2.5,2.4,2.4
1218.142857,3714.142857,983.2857143,227.5714286,2.5,2.4,2.4,2.3
1271.142857,4092.285714,962.7142857,231.1428571,2.4,2.4,2.3,2.3
1345.857143,4592.285714,1002.857143,226.7142857,2.4,2.3,2.3,2.3
1324.714286,4111.142857,884.8571429,194.7142857,2.3,2.3,2.3,2.5
1236,3893.571429,755.8571429,193.4285714,2.3,2.3,2.5,2.5
1273.142857,3953.571429,756.7142857,208.1428571,2.3,2.5,2.5,2.4
1365,3909.428571,776.4285714,200.4285714,2.5,2.5,2.4,2.5
1297,3689.142857,762,192.5714286,2.5,2.4,2.5,2.5
1267.285714,3675.142857,672.1428571,199.4285714,2.4,2.5,2.5,2.5
1303.714286,3894,849.7142857,192,2.5,2.5,2.5,2.5
1277.428571,3712,698.7142857,196.2857143,2.5,2.5,2.5,2.5
1330,3911.714286,768.5714286,215.2857143,2.5,2.5,2.5,2.6
1375.571429,4058.571429,723.2857143,194,2.5,2.5,2.6,2.5
1392.571429,4367.142857,843.7142857,203.5714286,2.5,2.6,2.5,2.6
1473.714286,4760,995.8571429,257.7142857,2.6,2.5,2.6,2.6
1516.857143,5173.714286,1035.714286,357,2.5,2.6,2.6,2.8
1569.142857,5138.142857,1124,852.2857143,2.6,2.6,2.8,3.6
1707.571429,5098.857143,1157.571429,734.1428571,2.6,2.8,3.6,3
1832.857143,5512.142857,1216.142857,916.1428571,2.8,3.6,3,3.3
1764.714286,5252.285714,1215.142857,806,3.6,3,3.3,3.6
1732.285714,4980.857143,1211.714286,832.2857143,3,3.3,3.6,4
1710.714286,4845,1210.428571,1032.285714,3.3,3.6,4,4.2
1605.142857,4275.285714,1217.857143,1073.571429,3.6,4,4.2,5.6
1439,4136.142857,1183.714286,766.2857143,4,4.2,5.6,3.6
1700.142857,4535.857143,1287.428571,967.4285714,4.2,5.6,3.6,3.5
1572.571429,4137.428571,1260.142857,804.4285714,5.6,3.6,3.5,3.6
1647.428571,4129.142857,1293.857143,864.5714286,3.6,3.5,3.6,3.8
1660,4268.571429,1284.142857,929.1428571,3.5,3.6,3.8,4
1774.142857,4520.428571,1370.428571,1411,3.6,3.8,4,4
1808,4432.714286,1358.285714,1122.285714,3.8,4,4,3.7
1705.714286,4233.142857,1315.142857,887.4285714,4,4,3.7,3.2
1544.142857,3717.142857,1199.571429,605.8571429,4,3.7,3.2,2.8
1427.714286,3093.714286,1055.714286,456.1428571,3.7,3.2,2.8,2.6
1308.142857,3382.857143,1005.428571,377.7142857,3.2,2.8,2.6,2.6
1272,4003.857143,1054.428571,373.7142857,2.8,2.6,2.6,2.6
1212.571429,7713.285714,1106,514.2857143,2.6,2.6,2.6,2.4
1225,5185.571429,1111.142857,307.8571429,2.6,2.6,2.4,2.4
1223.428571,4822,1082.428571,257,2.6,2.4,2.4,2.4
1207.142857,4841.428571,1017.571429,248.5714286,2.4,2.4,2.4,2.5
1195.428571,5198,948.2857143,234.7142857,2.4,2.4,2.5,2.6
1190.714286,3724.714286,929.1428571,214.7142857,2.4,2.5,2.6,2.5
1196.714286,3490,915.4285714,222.8571429,2.5,2.6,2.5,2.5
1169.285714,2904.571429,772.7142857,200,2.6,2.5,2.5,2.5
1180,2912.571429,780.8571429,200.2857143,2.5,2.5,2.5,2.6
1179.285714,2865.714286,763.7142857,177.2857143,2.5,2.5,2.6,2.5
1186.714286,2869.285714,746.4285714,184.7142857,2.5,2.6,2.5,2.5
1225,3013.571429,779.5714286,184.1428571,2.6,2.5,2.5,2.5
1224.571429,3109.285714,814.8571429,184.1428571,2.5,2.5,2.5,2.5
1236.857143,3292.285714,863.1428571,189.7142857,2.5,2.5,2.5,2.3
1233.714286,3329.857143,857.8571429,197.2857143,2.5,2.5,2.3,2.4
1253.571429,3376.571429,878.2857143,174.8571429,2.5,2.3,2.4,2.3
1244.714286,3543.571429,886.4285714,203.1428571,2.3,2.4,2.3,2.4
1221.571429,3486.285714,869.1428571,205.2857143,2.4,2.3,2.4,2.4
1160.285714,3174,801.5714286,215.4285714,2.3,2.4,2.4,2.7
1138.142857,3240,753.1428571,218.1428571,2.4,2.4,2.7,2.4
1234.857143,3526.571429,857.5714286,249.2857143,2.4,2.7,2.4,2.5
1181.857143,3242.571429,747,214.1428571,2.7,2.4,2.5,2.9
1169.714286,3420.571429,745,190.8571429,2.4,2.5,2.9,2.5
1289.714286,3498.857143,778.1428571,226.1428571,2.5,2.9,2.5,2.6
1259.714286,3554.571429,887.7142857,242.8571429,2.9,2.5,2.6,2.7
1273.571429,3527.142857,1016.285714,262.8571429,2.5,2.6,2.7,2.9
1345.428571,4015.428571,1072.428571,279.2857143,2.6,2.7,2.9,3.1
1349.571429,4002.571429,1089,289.8571429,2.7,2.9,3.1,3.2
1354.857143,3918.857143,1106.714286,372.7142857,2.9,3.1,3.2,3.4
1353.571429,3955.714286,1093.428571,398.1428571,3.1,3.2,3.4,3.6
1356.428571,4382.714286,1201.142857,537.1428571,3.2,3.4,3.6,3.6
1407.285714,4819.857143,1302.428571,755.7142857,3.4,3.6,3.6,3.7
1369.428571,5167,1284.285714,905.7142857,3.6,3.6,3.7,3.9
1376.285714,5433.285714,1309.285714,1057.285714,3.6,3.7,3.9,3.9
1354.428571,5405.571429,1229.142857,1062.857143,3.7,3.9,3.9,4.2
1383.571429,5505.428571,1274.285714,1094.142857,3.9,3.9,4.2,4
1365.142857,4982.571429,1233.285714,1014.714286,3.9,4.2,4,3.8
1358,4940.428571,1202.285714,875.7142857,4.2,4,3.8,4.1
1188.714286,4549,1094.571429,645.2857143,4,3.8,4.1,4
1226.857143,5053.714286,1116.285714,548.4285714,3.8,4.1,4,3.3
1354,5277.714286,1174.428571,721.2857143,4.1,4,3.3,3
1300.857143,5183.857143,1137,810.4285714,4,3.3,3,2.9
1305.428571,5329.428571,1089.857143,758.5714286,3.3,3,2.9,3
1317.857143,5859.714286,1131.857143,732.5714286,3,2.9,3,3.2
1378.285714,6562.428571,1186.714286,757.1428571,2.9,3,3.2,3.4
1432.571429,6790.428571,1166.428571,748.8571429,3,3.2,3.4,3.4
1416.714286,6587.571429,1148.285714,813.4285714,3.2,3.4,3.4,3.3
1410.142857,6201.142857,1163.142857,635.2857143,3.4,3.4,3.3,3.1
1294,5733.142857,1092.714286,461.2857143,3.4,3.3,3.1,3.1
1327,5165.285714,1053.714286,395.4285714,3.3,3.1,3.1,3.1
1276.571429,4657.142857,1038,378.7142857,3.1,3.1,3.1,3.2
1278.428571,4669,1006.714286,367.4285714,3.1,3.1,3.2,3.3
1234.428571,4797.285714,1032.428571,476.1428571,3.1,3.2,3.3,3
1244.571429,4467.428571,1012.714286,383.1428571,3.2,3.3,3,3.5
1218.857143,3931.285714,1003,352.2857143,3.3,3,3.5,3
1256.571429,3734,950.4285714,313,3,3.5,3,2.8
1167.714286,3497.428571,892.1428571,268,3.5,3,2.8,2.5
1230.571429,3395.285714,877.8571429,291.5714286,3,2.8,2.5,2.5
1240.857143,3286.285714,918.5714286,293.8571429,2.8,2.5,2.5,2.6
1233.142857,3353.428571,957.7142857,336.1428571,2.5,2.5,2.6,2.5
1207.142857,3449.857143,1026.428571,558.4285714,2.5,2.6,2.5,2.5
1242.857143,3580.857143,1023.571429,660.5714286,2.6,2.5,2.5,2.6
1326.857143,4078.571429,1089.857143,815.2857143,2.5,2.5,2.6,2.5
1321.857143,4269.142857,1154.142857,784.5714286,2.5,2.6,2.5,2.4
1339.714286,4002.142857,1097.428571,761.7142857,2.6,2.5,2.4,2.5
1318.571429,3796.285714,1085.142857,642.5714286,2.5,2.4,2.5,2.4
1349.714286,4159.714286,1109,1019.571429,2.4,2.5,2.4,2.5
1366.142857,4621.714286,1149.428571,883,2.5,2.4,2.5,2.4
1399.428571,5027.714286,1207,843.5714286,2.4,2.5,2.4,2.4
1359.714286,5054.857143,1160.142857,766.8571429,2.5,2.4,2.4,2.5
1322.857143,5326.714286,1198.142857,678,2.4,2.4,2.5,2.4
1423.285714,5920.857143,1240.857143,632.1428571,2.4,2.5,2.4,2.5
1429.857143,5709.285714,1240.428571,462.5714286,2.5,2.4,2.5,2.5
1404.857143,4967.857143,1121.142857,446.2857143,2.4,2.5,2.5,3.2
1201.428571,4832.142857,983.1428571,268.2857143,2.5,2.5,3.2,
1378.714286,4810.857143,924,321,2.5,3.2,,
1334.714286,3918.428571,794.2857143,313.2857143,3.2,,,2.6
1376.428571,4420.428571,882.4285714,298.1428571,,,2.6,2.7
1400.428571,4501.571429,899.4285714,278.5714286,,2.6,2.7,2.8
1382.571429,4430.428571,903.4285714,289.2857143,2.6,2.7,2.8,3.2
1369.857143,4124.857143,876.1428571,292.7142857,2.7,2.8,3.2,3.5
1369,3667.714286,855.8571429,367.4285714,2.8,3.2,3.5,3.7
1478.142857,3224.571429,1069.857143,606.8571429,3.2,3.5,3.7,4
1611.142857,4116.428571,1172.857143,1067.428571,3.5,3.7,4,4.9
1765.428571,4712.285714,1266.857143,1206.285714,3.7,4,4.9,5.2
2105.714286,5905.714286,1552,1609.142857,4,4.9,5.2,5.3
2458.857143,6481.428571,1999.857143,2187,4.9,5.2,5.3,5.8
2567.714286,6874.571429,1836.714286,2076.857143,5.2,5.3,5.8,5.5
2542.285714,6305.714286,1641.285714,2187.714286,5.3,5.8,5.5,5.2
2713.285714,6484,1816,2848.714286,5.8,5.5,5.2,4.9
2240,5169.714286,1424.285714,2399.285714,5.5,5.2,4.9,4.2
2029,4347.285714,1247,2204.285714,5.2,4.9,4.2,3.7
2023.428571,4304.142857,1265.285714,2057.571429,4.9,4.2,3.7,4.5
1721.428571,3840.714286,1159.714286,2291.571429,4.2,3.7,4.5,3.6
1705.857143,3949.714286,1127.571429,1686.714286,3.7,4.5,3.6,2.9
1600.285714,3724,1149.714286,1823.142857,4.5,3.6,2.9,2.6
1413.142857,3541.428571,919.4285714,1181.285714,3.6,2.9,2.6,2.6
1419.571429,3686.571429,878,999.1428571,2.9,2.6,2.6,2.6
1434.428571,3935.428571,835.8571429,743.7142857,2.6,2.6,2.6,2.6
1406,3539.285714,830.8571429,631.4285714,2.6,2.6,2.6,2.5
1363.857143,3307.571429,760.2857143,487.1428571,2.6,2.6,2.5,2.3
1317.428571,3134.285714,748.8571429,450,2.6,2.5,2.3,2.4
1167.285714,3030.285714,719.1428571,411.5714286,2.5,2.3,2.4,2.3
1120,2551.428571,644.8571429,367.8571429,2.3,2.4,2.3,2.6
989.2857143,2099.571429,567.7142857,351.4285714,2.4,2.3,2.6,2.3
1021.714286,2284.714286,605.7142857,369.4285714,2.3,2.6,2.3,2.3
1177.142857,3165.714286,923,363.4285714,2.6,2.3,2.3,
1217.571429,3703,947.2857143,342.8571429,2.3,2.3,,2.4
1197.428571,3538.857143,1012.571429,319,2.3,,2.4,2.4
1217.428571,3435.285714,1000,320.8571429,,2.4,2.4,2.3
1227,3043.571429,1008.571429,313.8571429,2.4,2.4,2.3,2.4
1277.428571,2800.142857,984,282,2.4,2.3,2.4,2.3
1173.142857,2220.142857,877.4285714,255.1428571,2.3,2.4,2.3,2.3
1173.571429,2267.571429,895.1428571,254.2857143,2.4,2.3,2.3,2.2
1199.428571,2393.571429,877,271.1428571,2.3,2.3,2.2,
1220.571429,2417,927.1428571,275.1428571,2.3,2.2,,2.2
1241.714286,2504.428571,986.7142857,349,2.2,,2.2,2.1
1270,2800.285714,1038.714286,268.1428571,,2.2,2.1,2.1
1323.714286,3370.857143,1069.142857,249,2.2,2.1,2.1,
1309.714286,3189.285714,1043.571429,243.4285714,2.1,2.1,,2.1
1276.571429,3166.714286,1065.857143,231.1428571,2.1,,2.1,2
1194.571429,2694.142857,1047.857143,238.1428571,,2.1,2,2.1
1143.857143,3602.142857,1041.714286,237.1428571,2.1,2,2.1,2.1
1139.857143,3799.571429,1049.714286,271.2857143,2,2.1,2.1,2.1
1129.428571,3427.571429,1044.428571,256.1428571,2.1,2.1,2.1,2
1237.142857,3528,1081.285714,250.7142857,2.1,2.1,2,2.8
1195.428571,3905.857143,1027,209.1428571,2.1,2,2.8,2.1
1395.428571,4343.285714,1079,257.8571429,2,2.8,2.1,2.3
1298.142857,4238.571429,1072.714286,258.5714286,2.8,2.1,2.3,2.3
1315.714286,4084.142857,1088.714286,297.7142857,2.1,2.3,2.3,2.3
1379.571429,4016.571429,1103.571429,299.7142857,2.3,2.3,2.3,2.5
1247.428571,3815.714286,1050.857143,305.8571429,2.3,2.3,2.5,2.6
1283.285714,3733.571429,1086.285714,375.5714286,2.3,2.5,2.6,2.8
1350.857143,4607.142857,1116,493.1428571,2.5,2.6,2.8,3
1497.428571,4501.428571,1180.714286,682.7142857,2.6,2.8,3,3.2
1673.857143,4571.285714,1166,855,2.8,3,3.2,3.4
1619.714286,4912.714286,1151.714286,1039.428571,3,3.2,3.4,3.7
1722.428571,5635.571429,1334.142857,1890.857143,3.2,3.4,3.7,4.1
1923.857143,6352.571429,1449.857143,3399.857143,3.4,3.7,4.1,5.3
2108.142857,7006.142857,1753.571429,5523.285714,3.7,4.1,5.3,5.3
2515,8495.857143,2471.285714,11917.28571,4.1,5.3,5.3,5.4
2637.571429,8725.714286,2596.285714,15148.14286,5.3,5.3,5.4,5.1
2676,8619.714286,2691.142857,14410.28571,5.3,5.4,5.1,4.6
2495.142857,7295.142857,2417.428571,12870.57143,5.4,5.1,4.6,6.2
1774.714286,5651.285714,1602.571429,5909.142857,5.1,4.6,6.2,3.4
1988,6642.285714,1652.428571,5895,4.6,6.2,3.4,2.9
1814.285714,5879.428571,1545.857143,4987.714286,6.2,3.4,2.9,2.8
1799.571429,5764.428571,1489.428571,4956.857143,3.4,2.9,2.8,
1677.571429,5997.142857,1408.857143,4492.285714,2.9,2.8,,3.3
1748.142857,6297.571429,1486.285714,3898.428571,2.8,,3.3,3.5
1731.857143,5966.285714,1472,3191.571429,,3.3,3.5,3.6
1743.571429,5793.714286,1461.571429,2517.285714,3.3,3.5,3.6,3.9
1689,5402.714286,1582.142857,2004.142857,3.5,3.6,3.9,3.7
1691.857143,5502.714286,1578.285714,1786.142857,3.6,3.9,3.7,3.6
1588,5061.428571,1553.428571,1565.142857,3.9,3.7,3.6,3.3
1571,4035.428571,1362.285714,1320.285714,3.7,3.6,3.3,3.2
1430.857143,4280.714286,1256.714286,1072.571429,3.6,3.3,3.2,2.6
1540.142857,4708.428571,1446.857143,1078.714286,3.3,3.2,2.6,2.5
1409,4304.571429,1377.857143,1091.714286,3.2,2.6,2.5,2.5
1354.142857,3915.428571,1204.285714,967.7142857,2.6,2.5,2.5,2.4
1262,2630.571429,1170.428571,913.2857143,2.5,2.5,2.4,2.6
1332.714286,2643,1130.142857,807.1428571,2.5,2.4,2.6,2.3
1410.285714,2469.571429,1132.285714,748.7142857,2.4,2.6,2.3,2.3
1312.857143,2363.142857,1133.857143,695,2.6,2.3,2.3,2.4
1252.285714,2184.571429,1179.428571,625.1428571,2.3,2.3,2.4,2.4
1218.857143,2697.285714,1042.142857,554.8571429,2.3,2.4,2.4,2.3
1234.571429,2369.571429,1050.571429,517,2.4,2.4,2.3,2.2
1208.714286,2259.714286,1063.142857,512.5714286,2.4,2.3,2.2,2.3
1245.285714,2300.857143,1065.142857,524.2857143,2.3,2.2,2.3,2.2
1239.571429,2411,1045.142857,490,2.2,2.3,2.2,2.1
1235.428571,2407,1051.428571,474,2.3,2.2,2.1,2.1
1280.285714,2805.428571,1067.285714,444.8571429,2.2,2.1,2.1,2
1273.857143,2882.714286,1053.285714,479,2.1,2.1,2,2
1243.714286,2875.142857,1056,424.5714286,2.1,2,2,2.1
1207.285714,2960.285714,1065,554.2857143,2,2,2.1,2.3
1230.857143,3170.285714,1067.142857,666.8571429,2,2.1,2.3,2.2
1419.285714,3989.857143,1117.285714,692.8571429,2.1,2.3,2.2,2.3
1496.428571,4116.285714,1166.857143,785.7142857,2.3,2.2,2.3,2.9
1211.285714,2800.428571,1012.428571,498.1428571,2.2,2.3,2.9,2.2
1313.142857,3066.714286,1062,592.7142857,2.3,2.9,2.2,2.4
1285.571429,3124.142857,1035.142857,810.1428571,2.9,2.2,2.4,2.4
1302.571429,3281.571429,1054.714286,839.1428571,2.2,2.4,2.4,2.5
1444.428571,3438.285714,1088.428571,1014.714286,2.4,2.4,2.5,2.5
2603.285714,3425.857143,1090,1055.428571,2.4,2.5,2.5,2.6
1746.142857,3542.142857,1123.428571,1214.428571,2.5,2.5,2.6,2.9
1485.285714,3596.142857,1139.571429,1776.571429,2.5,2.6,2.9,3.3
1444.857143,3755,1150.571429,2843.714286,2.6,2.9,3.3,3.7
1591.285714,4535.571429,1250.428571,5758.857143,2.9,3.3,3.7,4.7
1818.285714,4992.857143,1616.714286,10198.42857,3.3,3.7,4.7,5.3
1927,5233,1837,11098.42857,3.7,4.7,5.3,5.5
2085.571429,5169.857143,2090.428571,12131.71429,4.7,5.3,5.5,5.9
2224.714286,4902.571429,2263.142857,11346.28571,5.3,5.5,5.9,5.3
2162.142857,4322.428571,2057.714286,8947.714286,5.5,5.9,5.3,4.5
2093.714286,3839.428571,1844,6048.714286,5.9,5.3,4.5,6.8
2695,6571.857143,2481,9047.714286,5.3,4.5,6.8,8.5
2466.714286,6304.142857,1861.285714,4263.142857,4.5,6.8,8.5,6.4
1690.428571,4179,1193.142857,2588,6.8,8.5,6.4,5.4
