a1,a2,a3,a4,a5,a6,a7,a8,a9,t-3,t-2,t-1,t
1762.428571,275.4285714,2631.142857,1578,420.1428571,66,345.1428571,1485.285714,68.14285714,3.5,3.6,3.1,3.1
1938,275,2471.857143,1577.285714,529.4285714,66,310.5714286,1438.714286,61.42857143,3.6,3.1,3.1,2.9
1783.142857,245.8571429,2464.428571,1590.142857,550.4285714,64.57142857,428.4285714,1399.285714,79.42857143,3.1,3.1,2.9,2.8
1482.571429,191.1428571,2249.714286,1266,463,55.14285714,287.4285714,1266.142857,76.28571429,3.1,2.9,2.8,3.8
1734.142857,243.7142857,2603.857143,1412,576.2857143,67.14285714,556.4285714,1423,76.42857143,2.9,2.8,3.8,2.9
1808.857143,266.5714286,2335.428571,1377.857143,563.1428571,65.28571429,512.8571429,1439.571429,64.57142857,2.8,3.8,2.9,2.6
1618,261.8571429,2402.571429,1393.714286,474.8571429,67.71428571,365.1428571,1363.857143,96.71428571,3.8,2.9,2.6,
1593.714286,267.4285714,2500.285714,1362.285714,470.1428571,70.57142857,359,1344.142857,66.57142857,2.9,2.6,,2.7
1699.571429,266.8571429,2451.285714,1359.571429,444.4285714,69,331.1428571,1354.428571,73,2.6,,2.7,2.6
1514.714286,260.8571429,2462.714286,1271.714286,386.2857143,56.85714286,316.5714286,1347.857143,44.85714286,,2.7,2.6,2.7
1517.428571,244.5714286,2414.571429,1230.571429,336.5714286,66,290.5714286,1360,54.42857143,2.7,2.6,2.7,2.5
1472.857143,282,2497.428571,1394.428571,403.5714286,59,305.4285714,1372.571429,66.42857143,2.6,2.7,2.5,2.3
1327.285714,272.2857143,2457.285714,1262.428571,327.1428571,66.14285714,286.2857143,1361.571429,48.42857143,2.7,2.5,2.3,2.4
1290.428571,249,2484.428571,1156.142857,286.4285714,56,281.5714286,1350.428571,45.28571429,2.5,2.3,2.4,2.4
1165.428571,274.4285714,2522.857143,1137.714286,281.8571429,73.14285714,259.2857143,1355,57.42857143,2.3,2.4,2.4,2.3
1112.428571,290.7142857,2530.142857,1123.142857,264.7142857,62,285.8571429,1324.857143,27.42857143,2.4,2.4,2.3,2.4
1107,289.5714286,2641.285714,1098.714286,287.2857143,62.57142857,295.1428571,1303,18.85714286,2.4,2.3,2.4,
1392.428571,318.1428571,2906.571429,1071,448,54.14285714,301.5714286,1282.571429,46,2.3,2.4,,2.3
2070.142857,402.1428571,3454.857143,1075.714286,543,69.57142857,370.7142857,1316.571429,47.28571429,2.4,,2.3,2.5
1832.571429,360.1428571,3556.428571,1058.857143,590.8571429,63,373,1316.857143,64.28571429,,2.3,2.5,2.6
1554.714286,310.4285714,3650.428571,1058.857143,627.2857143,76.28571429,352.5714286,1272.428571,58,2.3,2.5,2.6,2.6
1355,292.5714286,3756.714286,1082.714286,560.8571429,69.71428571,319.4285714,1250.142857,45.57142857,2.5,2.6,2.6,2.6
1287.857143,278.4285714,3579.428571,1073.571429,464.1428571,80.42857143,322.8571429,1265.428571,54.71428571,2.6,2.6,2.6,2.5
1273,277.4285714,3382.142857,1112.857143,439.2857143,56.14285714,287,1275.857143,65.85714286,2.6,2.6,2.5,2.6
1039.142857,247.5714286,3250,1098.571429,358.1428571,66.85714286,342.7142857,1279.571429,45.28571429,2.6,2.5,2.6,2.6
1033.428571,234.7142857,3319.857143,1084.285714,387,63.14285714,286,1262.857143,54.57142857,2.5,2.6,2.6,2.5
1068.285714,229.8571429,3399.285714,1103,379.7142857,45.85714286,285,1270.857143,57.28571429,2.6,2.6,2.5,2.4
984,215.8571429,3192.428571,1152.428571,331.1428571,43.14285714,286.4285714,1285,45,2.6,2.5,2.4,2.5
1022,221.2857143,3266.857143,1179.571429,330.2857143,17.28571429,273,1307.571429,36.71428571,2.5,2.4,2.5,2.5
1082.428571,216.7142857,3176.285714,1195,332.8571429,8.571428571,271.5714286,1311,45.42857143,2.4,2.5,2.5,2.5
1042.857143,223.5714286,2739,1249.714286,340.1428571,34.57142857,264.2857143,1304.285714,26.71428571,2.5,2.5,2.5,2.4
1005.142857,240.1428571,2516,1241.142857,302.4285714,8.571428571,249.2857143,1288.428571,43.85714286,2.5,2.5,2.4,2.4
1047.571429,259.7142857,2383.285714,1271,312.8571429,9,264.2857143,1312.428571,0,2.5,2.4,2.4,2.3
982.5714286,261,2357.857143,1317,346.1428571,0,254.1428571,1319.857143,26,2.4,2.4,2.3,2.3
914.7142857,253,2195.428571,1189.142857,289.4285714,0,254.5714286,1301.142857,27.28571429,2.4,2.3,2.3,2.3
883.5714286,219.8571429,2162.571429,1147.142857,248,0,248.1428571,1273,8.571428571,2.3,2.3,2.3,2.5
982.8571429,235.7142857,2224.285714,1201.285714,278.1428571,0,263.4285714,1309.285714,9.428571429,2.3,2.3,2.5,2.5
1040.571429,249.2857143,2144.857143,1270.714286,330.7142857,8.571428571,296.8571429,1290.142857,8.714285714,2.3,2.5,2.5,2.4
1061.142857,251.2857143,2125.571429,1218.428571,332.5714286,0,265,1350.142857,17.28571429,2.5,2.5,2.4,2.5
1030.285714,262.2857143,1927.428571,1170.142857,307.7142857,8.571428571,253.5714286,1264,44.14285714,2.5,2.4,2.5,2.5
1154.571429,255.2857143,2034.428571,1275,332.8571429,9,245.7142857,1293.571429,45,2.4,2.5,2.5,2.5
1184.285714,261.1428571,1938,1301.714286,323,8.714285714,257,1271,26.71428571,2.5,2.5,2.5,2.5
1163.428571,259.5714286,2144.714286,1349.714286,338.2857143,9.142857143,258.1428571,1311,52.71428571,2.5,2.5,2.5,2.5
1055.428571,274.2857143,2012.142857,1379.571429,353,44.28571429,246.8571429,1284.428571,26.14285714,2.5,2.5,2.5,2.6
1090.428571,259.7142857,2125.857143,1570.142857,422.7142857,71.14285714,260.8571429,1304.714286,9.285714286,2.5,2.5,2.6,2.5
1237.857143,279,2314.142857,1852,513.4285714,83.71428571,271.7142857,1380.428571,26.14285714,2.5,2.6,2.5,2.6
1228.285714,275,2348,1870.285714,606.1428571,115.4285714,296.4285714,1346.714286,45.42857143,2.6,2.5,2.6,2.6
1552.714286,332.5714286,2581.857143,1999.714286,787.1428571,217.7142857,361.2857143,1390.285714,73.42857143,2.5,2.6,2.6,2.8
1449.428571,291.2857143,2723.285714,1870.285714,720.4285714,203.7142857,373.4285714,1378.428571,63,2.6,2.6,2.8,3.6
1732.142857,392,3008,2055.428571,993.2857143,218.5714286,485.8571429,1498,58.14285714,2.6,2.8,3.6,3
1703.142857,404.1428571,3007.857143,1745.285714,1045.857143,213,513.4285714,1473,80.57142857,2.8,3.6,3,3.3
1598,352,3037.428571,1680.142857,999.7142857,195.2857143,602.4285714,1427.428571,65.85714286,3.6,3,3.3,3.6
1605.571429,324.5714286,3202.285714,1744.285714,937.5714286,205,653.1428571,1467.285714,68.42857143,3,3.3,3.6,4
1497,296.4285714,2958,1495.571429,940.7142857,215.5714286,643.5714286,1414.285714,66.85714286,3.3,3.6,4,4.2
1316.285714,283,3305.857143,1340,900.7142857,179,772.4285714,1350.714286,59.71428571,3.6,4,4.2,5.6
1909.285714,454.5714286,3188.285714,1441.142857,1043.714286,207.1428571,943.7142857,1506.571429,107.4285714,4,4.2,5.6,3.6
1678.857143,419.5714286,2998.714286,1382.571429,967.1428571,190,850,1500.142857,77.28571429,4.2,5.6,3.6,3.5
1804.142857,423.2857143,3234.142857,1458.857143,1063.285714,217.4285714,809.2857143,1424,83.85714286,5.6,3.6,3.5,3.6
2095.571429,419.8571429,3138.571429,1317.428571,1125.142857,217.7142857,1063,1454,97.85714286,3.6,3.5,3.6,3.8
3587.857143,654,3406.857143,1529.714286,1978.428571,384.2857143,1936.857143,1405.857143,131.7142857,3.5,3.6,3.8,4
3229.428571,697.4285714,3247,1442.285714,2321.857143,288,1496.285714,1420.714286,123.1428571,3.6,3.8,4,4
2396.285714,504.1428571,3135,1485.857143,1805,232.1428571,1231.857143,1350.285714,134.2857143,3.8,4,4,3.7
1673.428571,399.5714286,2787,1260.714286,1161.571429,179.5714286,1024.428571,1356.571429,88.57142857,4,4,3.7,3.2
1461.571429,322.8571429,2481.857143,1156.285714,930.2857143,146.2857143,750.7142857,1347.428571,62.42857143,4,3.7,3.2,2.8
1285.142857,322.1428571,2557,1325.714286,772.5714286,139.8571429,621.1428571,1456.857143,37.28571429,3.7,3.2,2.8,2.6
1173.571429,293.1428571,2903.285714,1700.285714,678.7142857,126,568.5714286,1585.142857,17.42857143,3.2,2.8,2.6,2.6
1072.571429,289.2857143,3242.285714,1762.428571,542.5714286,132.8571429,511,1752.571429,26.14285714,2.8,2.6,2.6,2.6
1028.857143,303.7142857,2884.285714,1746.142857,489.7142857,65.85714286,490.8571429,1667.714286,8.714285714,2.6,2.6,2.6,2.4
1030.857143,283.5714286,2907.571429,1882.571429,411.7142857,63,476.5714286,1707,0,2.6,2.6,2.4,2.4
1094.428571,295.5714286,2981.857143,1686.714286,401.2857143,35.71428571,463.1428571,1762.714286,0,2.6,2.4,2.4,2.4
1033.142857,296.1428571,2865.428571,1389.285714,342.7142857,8.714285714,388.5714286,1535.857143,0,2.4,2.4,2.4,2.5
955,273.1428571,2614.285714,1111.428571,319.8571429,17.42857143,378.8571429,1355.142857,0,2.4,2.4,2.5,2.6
858.5714286,273.2857143,2436.428571,1026.142857,322.5714286,9.428571429,376.4285714,1305.714286,0,2.4,2.5,2.6,2.5
710.4285714,262.2857143,2221.285714,986.5714286,286.7142857,17.42857143,358.8571429,1301.285714,0,2.5,2.6,2.5,2.5
801,236.8571429,2136.142857,982,266.7142857,17.71428571,338.2857143,1276.571429,0,2.6,2.5,2.5,2.5
754.2857143,228.5714286,2116.285714,962.4285714,264.5714286,8.714285714,340,1256.714286,0,2.5,2.5,2.5,2.6
806.8571429,219.5714286,2100,965.7142857,268.4285714,17.71428571,348.2857143,1245.142857,0,2.5,2.5,2.6,2.5
762.2857143,209.7142857,2108.142857,1018.857143,260.2857143,0,352.8571429,1231.428571,0,2.5,2.6,2.5,2.5
777.8571429,205.7142857,2103.428571,1115.714286,260.4285714,0,334.2857143,1224.857143,0,2.6,2.5,2.5,2.5
711.1428571,201,2127.285714,1108.285714,257.8571429,8.714285714,314.7142857,1253.571429,0,2.5,2.5,2.5,2.5
654.2857143,197.1428571,2063.571429,1123.571429,253.2857143,17.71428571,313.4285714,1234.714286,0,2.5,2.5,2.5,2.3
856.7142857,213.4285714,2090.142857,1093.142857,269.4285714,0,321.7142857,1233,0,2.5,2.5,2.3,2.4
779.8571429,217.5714286,2140.571429,1098,275.7142857,17.42857143,339.2857143,1276.857143,0,2.5,2.3,2.4,2.3
771.7142857,233.4285714,1971.571429,1114.142857,308.7142857,8.714285714,335,1246.714286,0,2.3,2.4,2.3,2.4
962.8571429,260.2857143,1846.571429,1066.142857,312.2857143,26.71428571,342,1278,0,2.4,2.3,2.4,2.4
7236.285714,254.1428571,1910.714286,1093.142857,321,26.14285714,349.4285714,1259.714286,8.714285714,2.3,2.4,2.4,2.7
9952.428571,278.1428571,1989.428571,1143.571429,352.8571429,28.71428571,395.2857143,1290.714286,9,2.4,2.4,2.7,2.4
8281.285714,232.5714286,1813.285714,1096,345.7142857,18.71428571,364.2857143,1243,8.714285714,2.4,2.7,2.4,2.5
5879.285714,241.1428571,1984.571429,1094.285714,320.2857143,8.714285714,355.2857143,1232.428571,0,2.7,2.4,2.5,2.9
3381.714286,261.2857143,1837.857143,1223.428571,352.7142857,27,388,1260.142857,17.42857143,2.4,2.5,2.9,2.5
2847.428571,275.4285714,1938,1247,408.7142857,57.57142857,379.4285714,1255.857143,43.85714286,2.5,2.9,2.5,2.6
2498.714286,283,2027.142857,1133.428571,406.7142857,72,390.5714286,1268.285714,63.85714286,2.9,2.5,2.6,2.7
2202.857143,289.2857143,2131.285714,1266.857143,430.8571429,37,435.2857143,1269.142857,28.57142857,2.5,2.6,2.7,2.9
2139.428571,285.8571429,2127,1289.428571,449.5714286,62.14285714,435,1299.714286,19.71428571,2.6,2.7,2.9,3.1
2016.857143,296,2206.714286,1284.428571,565.8571429,70.42857143,487,1355.857143,83.71428571,2.7,2.9,3.1,3.2
1935.714286,290.7142857,2172.428571,1199,570.7142857,119.5714286,518.5714286,1319,36.14285714,2.9,3.1,3.2,3.4
1940.714286,308.5714286,2403.428571,1391.857143,690.1428571,118.4285714,578.5714286,1342.857143,67.42857143,3.1,3.2,3.4,3.6
2025,326,2687.571429,1654.142857,928.8571429,178.2857143,692.4285714,1430.285714,83.85714286,3.2,3.4,3.6,3.6
1843.428571,320.2857143,2906.571429,1449.857143,929.4285714,186.7142857,764.2857143,1422.285714,82.42857143,3.4,3.6,3.6,3.7
1992.142857,324.8571429,3026.428571,1611.857143,980.4285714,212.1428571,892.4285714,1447.428571,59.28571429,3.6,3.6,3.7,3.9
2066.857143,320.4285714,2934.857143,1417,980.5714286,198.5714286,936.8571429,1361.285714,78.71428571,3.6,3.7,3.9,3.9
2010.428571,333.1428571,3174.285714,1485.714286,1002.857143,209.5714286,1024.142857,1440.142857,66.14285714,3.7,3.9,3.9,4.2
2097.285714,330.8571429,2665.428571,1183,991.7142857,196.4285714,1013.142857,1338.142857,74.85714286,3.9,3.9,4.2,4
2005,277.2857143,2364.142857,1176.142857,968.1428571,177.5714286,991.5714286,1299,64.85714286,3.9,4.2,4,3.8
1790,221.2857143,2074,1099.857143,880.1428571,147.8571429,837.2857143,1184.714286,53.42857143,4.2,4,3.8,4.1
1857,242.1428571,2349.714286,1157.857143,802.4285714,130.1428571,826.1428571,1223.285714,46.71428571,4,3.8,4.1,4
2145.142857,324.5714286,2211.285714,1220.428571,966.7142857,148.4285714,884.7142857,1324.142857,63,3.8,4.1,4,3.3
2805.285714,500.4285714,2124.857143,1188.428571,1395.714286,149.7142857,1104.571429,1303.285714,36.85714286,4.1,4,3.3,3
2864.428571,597.5714286,2116.428571,1154.142857,1684.857143,157,1080.571429,1266.142857,26.14285714,4,3.3,3,2.9
2428.714286,508.7142857,2315.857143,1337.285714,1538.714286,166,1014,1267.857143,54.85714286,3.3,3,2.9,3
